index,soc_fil,MLP,PWL
13375,87.50000000000001,88.18954239016023,84.57947049807348
13376,87.50000000000001,88.20281513383236,84.59051547922681
13377,87.50000000000001,88.19968081613627,84.58848156753861
13378,87.5000334581448,88.18052923468497,84.57719481560244
13379,87.50021817451027,88.1745161728337,84.57357047478725
13380,87.50114143973109,88.18875717533376,84.58550329648705
13381,87.50463378483644,88.212287971504,84.60595429063991
13382,87.51485759322499,88.23432869625833,84.62503897473701
13383,87.5381217347251,88.24427510959651,84.63303391395031
13384,87.57970003214427,88.23686208178844,84.6286037050115
13385,87.6394194186409,88.23554864501205,84.6275234097057
13386,87.71070934279271,88.24722992231693,84.63710911449729
13387,87.78351543263979,88.26581973930445,84.65302953391371
13388,87.84553827176867,88.27814481755343,84.663205564545
13389,87.88236294949611,88.28086505433168,84.6645745429359
13390,87.88325275657216,88.28365581830587,84.6660081924453
13391,87.84988696580528,88.28832356607165,84.66916291867824
13392,87.79704686976822,88.30085052525249,84.67952405881391
13393,87.74330748560533,88.31283094709363,84.68938405954525
13394,87.70102114510988,88.31928658088293,84.69417816836555
13395,87.67210006376807,88.33386641716208,84.70642167628887
13396,87.65135703764112,88.3558609185144,84.72546398152595
13397,87.63525544096976,88.37716598039117,84.74387411449949
13398,87.62562127460178,88.38987052043524,84.75439808876328
13399,87.62153928747585,88.39322213803973,84.75634601205299
13400,87.61348693557106,88.39417254900184,84.75645132446185
13401,87.59265166427883,88.39372109969702,84.75582246135379
13402,87.56274316620006,88.40292159815874,84.76313344841311
13403,87.53719846950428,88.41457430993762,84.77269296243061
13404,87.52813739769839,88.42185287152972,84.7782416469797
13405,87.54117773080995,88.43531881248202,84.78946378075955
13406,87.57531787996288,88.44809228157249,84.80005096194307
13407,87.62172400384132,88.45125174870338,84.80182268751118
13408,87.66468013728601,88.44951609124985,84.80052127275268
13409,87.6897519123787,88.44571645160761,84.79813892434716
13410,87.69371901870372,88.44479034443941,84.79726147915446
13411,87.68527374480884,88.44507828702774,84.79701984478565
13412,87.67550758229238,88.45356507202234,84.80367639520387
13413,87.6689128708633,88.46382774015512,84.81196132414865
13414,87.66333575940529,88.47038275723901,84.81684656429555
13415,87.65421993260303,88.48308236499872,84.82736602119442
13416,87.63764088414722,88.49239598562565,84.83478073812329
13417,87.61523201191996,88.4887970608994,84.8325035068522
13418,87.59728932351122,88.49410393064466,84.836244268592
13419,87.59398169477134,88.5113382150754,84.85092174365177
13420,87.6017340329363,88.52278558885303,84.8602929815924
13421,87.60418639240335,88.50581860331442,84.85036319783698
13422,87.58934403553896,88.47630473946776,84.82644202326414
13423,87.56181990097923,88.44528153886642,84.8006805601721
13424,87.53679557862856,88.41671358024325,84.77791269997495
13425,87.52702941611209,88.39167397444692,84.75944685395564
13426,87.53698029499402,88.386555094026,84.75633723168357
13427,87.56270970805528,88.40345215772834,84.77070549999947
13428,87.59261820613405,88.42740746562924,84.79154574173295
13429,87.61330221920561,88.44749020015445,84.80883507800122
13430,87.62061602225502,88.46198054005947,84.82099652325643
13431,87.62209547135166,88.47071691950407,84.82788194163325
13432,87.62477999992616,88.47291420375552,84.82877140682871
13433,87.62673328189967,88.45923065928366,84.82073168101756
13434,87.62477999992616,88.43467869957533,84.80286040868752
13435,87.62209547135166,88.4132476167157,84.78879432860845
13436,87.62061602225502,88.40607009617236,84.78449968591528
13437,87.61326876106081,88.40557303441312,84.78384693827428
13438,87.5924000316238,88.41829589170959,84.79438771448187
13439,87.56160172646898,88.43832688567784,84.81162959750124
13440,87.53259814281262,88.45046718580272,84.82163619957981
13441,87.51349797898365,88.44278504302349,84.81705107919691
13442,87.50413051952636,88.41666772378233,84.79727121026136
13443,87.49974836734496,88.39144860742238,84.77858649135308
13444,87.49447640808754,88.37702796769884,84.7701224706279
13445,87.4808271708832,88.36966477868702,84.76572094860234
13446,87.4486319189463,88.36216282447424,84.76123955084464
13447,87.38921269750513,88.33351907109466,84.73837927760829
13448,87.30539225387867,88.27942941685762,84.69023825150516
13449,87.21822964370912,88.22942869713154,84.64606835193811
13450,87.15909938746373,88.20811400724199,84.63214418617825
13451,87.14887557907517,88.21839706388857,84.64044780962375
13452,87.18124934871511,88.23362971631434,84.65328991417574
13453,87.22587693809987,88.24281217692044,84.66058435927727
13454,87.24960856249879,88.24647365672138,84.66281640619898
13455,87.23678113642251,88.24978441161659,84.6647268598182
13456,87.19264449526221,88.25501305771616,84.66839589483156
13457,87.13389582672842,88.24861030069735,84.66454723001294
13458,87.07834041790294,88.22602903073278,84.64907876417224
13459,87.03761846941501,88.19104145070162,84.61848364995546
13460,87.01346452083888,88.1239501719698,84.55771558679675
13461,86.9988920184137,88.0165975650176,84.45784613096464
13462,86.9819016943247,87.87357376118746,84.32333319423537
13463,86.94859846080152,87.71502701541033,84.1737445449529
13464,86.88791999955338,87.56966457863894,84.03696033282992
13465,86.7998686619662,87.45338157167282,83.92841776573866
13466,86.70013133803383,87.37065492173281,83.85246479596074
13467,86.61211345859142,87.32587551673498,83.81336578563936
13468,86.55165317185354,87.31665397783365,83.80789453725295
13469,86.51945791991665,87.33277018343654,83.82154680024006
13470,86.50684974800905,87.35234338765588,83.83836891932269
13471,86.50574176642274,87.36610367869582,83.8498609529639
13472,86.5137496116387,87.37701385071125,83.8587396049109
13473,86.53241342644716,87.38876245891299,83.86838705531066
13474,86.56049374488268,87.39919173692908,83.87682475829227
13475,86.5880178794424,87.40692196389284,83.88278758852815
13476,86.59973732393239,87.40934066077318,83.88388007651776
13477,86.5880178794424,87.39007479300346,83.87245398250042
13478,86.56049374488268,87.36685373982039,83.85620544292124
13479,86.53237996830238,87.35436651458588,83.84885435872624
13480,86.51349797898366,87.35156714146581,83.84699586116322
13481,86.5043821521814,87.3391749353483,83.83969947308563
13482,86.50110798158632,87.3220452719703,83.82967604893432
13483,86.50018471636548,87.31836083693054,83.8273540358264
13484,86.49978182548976,87.32112678674605,83.82876493464323
13485,86.49864038575868,87.31351295834031,83.82421913958382
13486,86.49425823357728,87.29474906598773,83.81325499716925
13487,86.48076025459363,87.2796282169744,83.80438791328368
13488,86.44838028629127,87.27171577488627,83.79967022670533
13489,86.3878530832638,87.24814605129507,83.7829965635207
13490,86.29958357116638,87.18114572180059,83.72231682815278
13491,86.19852009113745,87.0553025544956,83.60448954397202
13492,86.10501207792736,86.89128568185117,83.44958835486051
