index,soc_fil,CC,EPWL
2021-09-15 23:59:00,83.5,83.5,83.5
2021-09-16 00:00:00,83.5,83.51704206178486,83.5193470259618
2021-09-16 00:01:00,83.5,83.53170795182703,83.5363445038467
2021-09-16 00:02:00,83.5,83.54279588967134,83.54980411847252
2021-09-16 00:03:00,83.5,83.55165529102906,83.56106016610765
2021-09-16 00:04:00,83.5,83.56238192433382,83.57416252440774
2021-09-16 00:05:00,83.5,83.57658746952448,83.59070481534587
2021-09-16 00:06:00,83.5,83.59460679323837,83.61101815356731
2021-09-16 00:07:00,83.5,83.61672601693715,83.63538545470396
2021-09-16 00:08:00,83.5,83.64074899897155,83.66163518363655
2021-09-16 00:09:00,83.5,83.66407392051653,83.68719467345426
2021-09-16 00:10:00,83.50003345814478,83.68651179460839,83.71187705468584
2021-09-16 00:11:00,83.50021817451025,83.70691423978977,83.73454681284124
2021-09-16 00:12:00,83.50114143973109,83.72548285784367,83.75540329086907
2021-09-16 00:13:00,83.50463378483643,83.7456488325466,83.77783922806452
2021-09-16 00:14:00,83.51489105136977,83.76817157108059,83.80260552287996
2021-09-16 00:15:00,83.53837336738013,83.79245000942653,83.82910784588003
2021-09-16 00:16:00,83.5810931045304,83.81983638177799,83.85868328023591
2021-09-16 00:17:00,83.64537935957387,83.84559577242507,83.88664996230085
2021-09-16 00:18:00,83.73109052793018,83.8575815454722,83.90099735239183
2021-09-16 00:19:00,83.83976893118496,83.8520903609304,83.89806360435819
2021-09-16 00:20:00,83.97247586544029,83.84064724673787,83.8889709231303
2021-09-16 00:21:00,84.12039784774475,83.8257592021942,83.8762841566699
2021-09-16 00:22:00,84.26174692724109,83.80517971608259,83.85765952673879
2021-09-16 00:23:00,84.3730289481836,83.7879089691807,83.84248689424155
2021-09-16 00:24:00,84.44374650145484,83.77936674552952,83.83642070318707
2021-09-16 00:25:00,84.47961881486255,83.77767306069376,83.83724190601454
2021-09-16 00:26:00,84.49404005906702,83.78102385531781,83.84305106775123
2021-09-16 00:27:00,84.49860692761389,83.78629775383048,83.85076178608084
2021-09-16 00:28:00,84.49974836734496,83.78953565843138,83.8564593226635
2021-09-16 00:29:00,84.49989962556565,83.78889145654976,83.85831824957984
2021-09-16 00:30:00,84.49949673468993,83.7858477453269,83.85780455230535
2021-09-16 00:31:00,84.49728077151734,83.78482945531708,83.8592935825402
2021-09-16 00:32:00,84.48851646715455,83.78850073969973,83.86541964312829
2021-09-16 00:33:00,84.46152050918725,83.7948373902224,83.87418120593031
2021-09-16 00:34:00,84.39676057258252,83.80396574846823,83.88570319694314
2021-09-16 00:35:00,84.27577308281718,83.8122819172287,83.89642209859625
2021-09-16 00:36:00,84.09973732393239,83.80630436537933,83.89300743272672
2021-09-16 00:37:00,83.90026267606764,83.78062310913147,83.86906014171471
2021-09-16 00:38:00,83.72422691718285,83.74866185496681,83.83856094820472
2021-09-16 00:39:00,83.60323942741749,83.72011486438456,83.8116238453818
2021-09-16 00:40:00,83.53847949081276,83.69143631544912,83.78454948813393
2021-09-16 00:41:00,83.51148353284546,83.66339624622604,83.75814125480484
2021-09-16 00:42:00,83.50275268662746,83.64469204564391,83.74147310449487
2021-09-16 00:43:00,83.50078835610991,83.6386721589813,83.73801657814982
2021-09-16 00:44:00,83.50167816318594,83.63916030716965,83.74099516779148
2021-09-16 00:45:00,83.50710138066407,83.63911734052927,83.74344859344687
2021-09-16 00:46:00,83.52498151182911,83.63599349578483,83.74285566050177
2021-09-16 00:47:00,83.57085945911513,83.63369163480273,83.74307550145402
2021-09-16 00:48:00,83.66373317230017,83.64069266267131,83.75249399762805
2021-09-16 00:49:00,83.81224479662524,83.66150370865739,83.77556777844632
2021-09-16 00:50:00,84.00000000000001,83.68517142490857,83.80146622214865
2021-09-16 00:51:00,84.18775520337478,83.69461188809268,83.81329682113973
2021-09-16 00:52:00,84.33626682769984,83.68890723798675,83.81015199930334
2021-09-16 00:53:00,84.42914054088489,83.68129342853437,83.80505441992501
2021-09-16 00:54:00,84.4750184881709,83.68138782686678,83.80764367145605
2021-09-16 00:55:00,84.49289861933595,83.68852642652136,83.81719819800172
2021-09-16 00:56:00,84.49838875310363,83.69736799748776,83.82843661502501
2021-09-16 00:57:00,84.49971490920018,83.70498230055543,83.838461514995
2021-09-16 00:58:00,84.49996654185522,83.71061676505609,83.84652875937381
2021-09-16 00:59:00,84.50000000000001,83.71314345749666,83.85152305252772
2021-09-16 01:00:00,84.50000000000001,83.71261323985149,83.85349468655134
2021-09-16 01:01:00,84.50000000000001,83.71174833591962,83.85513538425955
2021-09-16 01:02:00,84.50000000000001,83.7120817641333,83.85796098747669
2021-09-16 01:03:00,84.50000000000001,83.71299706220728,83.86136194103014
2021-09-16 01:04:00,84.50000000000001,83.71264261097961,83.86350737210756
2021-09-16 01:05:00,84.50000000000001,83.70915964927572,83.86255934590622
2021-09-16 01:06:00,84.50000000000001,83.70165432885909,83.85757495280498
2021-09-16 01:07:00,84.49996654185522,83.69080377718703,83.84910049023091
2021-09-16 01:08:00,84.49974836734496,83.67895140697284,83.83958083345523
2021-09-16 01:09:00,84.49867384390346,83.6702946385561,83.8333951381994
2021-09-16 01:10:00,84.49450986623232,83.66644483651666,83.83208438190184
2021-09-16 01:11:00,84.48211986883497,83.6656437775447,83.83378820922314
2021-09-16 01:12:00,84.454122052714,83.6643861632365,83.83504059665357
2021-09-16 01:13:00,84.40712628681497,83.66046444230369,83.83365872727332
2021-09-16 01:14:00,84.35148837567493,83.65677020283009,83.83250179055067
