index,power_demand,power_load,power_pv
2021-12-22 23:00:00,18.469508457567102,18.469508457567102,0.0
2021-12-22 23:01:00,20.752208625852443,20.752208625852443,0.0
2021-12-22 23:02:00,23.03490879413778,23.03490879413778,0.0
2021-12-22 23:03:00,25.317608962423122,25.317608962423122,0.0
2021-12-22 23:04:00,27.60030913070846,27.60030913070846,0.0
2021-12-22 23:05:00,29.8830092989938,29.8830092989938,0.0
2021-12-22 23:06:00,32.16570946727914,32.16570946727914,0.0
2021-12-22 23:07:00,34.44840963556448,34.44840963556448,0.0
2021-12-22 23:08:00,36.73110980384982,36.73110980384982,0.0
2021-12-22 23:09:00,39.013809972135164,39.013809972135164,0.0
2021-12-22 23:10:00,41.2965101404205,41.2965101404205,0.0
2021-12-22 23:11:00,43.57921030870584,43.57921030870584,0.0
2021-12-22 23:12:00,45.861910476991184,45.861910476991184,0.0
2021-12-22 23:13:00,48.14461064527652,48.14461064527652,0.0
2021-12-22 23:14:00,50.42731081356186,50.42731081356186,0.0
2021-12-22 23:15:00,52.710010981847205,52.710010981847205,0.0
2021-12-22 23:16:00,54.99271115013254,54.99271115013254,0.0
2021-12-22 23:17:00,57.27541131841788,57.27541131841788,0.0
2021-12-22 23:18:00,59.558111486703226,59.558111486703226,0.0
2021-12-22 23:19:00,61.84081165498856,61.84081165498856,0.0
2021-12-22 23:20:00,64.1235118232739,64.1235118232739,0.0
2021-12-22 23:21:00,66.40621199155925,66.40621199155925,0.0
2021-12-22 23:22:00,68.68891215984459,68.68891215984459,0.0
2021-12-22 23:23:00,70.97161232812992,70.97161232812992,0.0
2021-12-22 23:24:00,73.25431249641527,73.25431249641527,0.0
2021-12-22 23:25:00,75.5370126647006,75.5370126647006,0.0
2021-12-22 23:26:00,77.81971283298594,77.81971283298594,0.0
2021-12-22 23:27:00,80.10241300127129,80.10241300127129,0.0
2021-12-22 23:28:00,82.38511316955663,82.38511316955663,0.0
2021-12-22 23:29:00,84.66781333784196,84.66781333784196,0.0
2021-12-22 23:30:00,86.95051350612731,86.95051350612731,0.0
2021-12-22 23:31:00,89.23321367441264,89.23321367441264,0.0
2021-12-22 23:32:00,91.51591384269798,91.51591384269798,0.0
2021-12-22 23:33:00,93.79861401098333,93.79861401098333,0.0
2021-12-22 23:34:00,96.08131417926866,96.08131417926866,0.0
2021-12-22 23:35:00,98.364014347554,98.364014347554,0.0
2021-12-22 23:36:00,100.64671451583935,100.64671451583935,0.0
2021-12-22 23:37:00,102.92941468412468,102.92941468412468,0.0
2021-12-22 23:38:00,105.21211485241002,105.21211485241002,0.0
2021-12-22 23:39:00,107.49481502069537,107.49481502069537,0.0
2021-12-22 23:40:00,109.7775151889807,109.7775151889807,0.0
2021-12-22 23:41:00,112.06021535726605,112.06021535726605,0.0
2021-12-22 23:42:00,114.34291552555139,114.34291552555139,0.0
2021-12-22 23:43:00,116.62561569383672,116.62561569383672,0.0
2021-12-22 23:44:00,118.90831586212207,118.90831586212207,0.0
2021-12-22 23:45:00,121.19101603040741,121.19101603040741,0.0
2021-12-22 23:46:00,123.47371619869274,123.47371619869274,0.0
2021-12-22 23:47:00,125.75641636697809,125.75641636697809,0.0
2021-12-22 23:48:00,128.03911653526342,128.03911653526342,0.0
2021-12-22 23:49:00,130.32181670354876,130.32181670354876,0.0
2021-12-22 23:50:00,132.6045168718341,132.6045168718341,0.0
2021-12-22 23:51:00,134.88721704011942,134.88721704011942,0.0
2021-12-22 23:52:00,137.1699172084048,137.1699172084048,0.0
2021-12-22 23:53:00,139.4526173766901,139.4526173766901,0.0
2021-12-22 23:54:00,141.73531754497546,141.73531754497546,0.0
2021-12-22 23:55:00,144.0180177132608,144.0180177132608,0.0
2021-12-22 23:56:00,146.30071788154615,146.30071788154615,0.0
2021-12-22 23:57:00,148.5834180498315,148.5834180498315,0.0
2021-12-22 23:58:00,150.8661182181168,150.8661182181168,0.0
2021-12-22 23:59:00,153.14881838640218,153.14881838640218,0.0
