index,power_demand,power_load,power_pv,_power_load
2021-12-22 23:00:00,18.469508457567102,13.463782268572407,0.0,18.469508457567102
2021-12-22 23:01:00,19.236425125181054,13.612498348484454,0.0,19.236425125181054
2021-12-22 23:02:00,20.00334179279501,13.761214428396503,0.0,20.00334179279501
2021-12-22 23:03:00,20.77025846040896,13.90993050830855,0.0,20.77025846040896
2021-12-22 23:04:00,21.537175128022916,14.058646588220599,0.0,21.537175128022916
2021-12-22 23:05:00,22.304091795636868,14.207362668132646,0.0,22.304091795636868
2021-12-22 23:06:00,23.07100846325082,14.356078748044695,0.0,23.07100846325082
2021-12-22 23:07:00,23.837925130864775,14.504794827956742,0.0,23.837925130864775
2021-12-22 23:08:00,24.604841798478727,14.65351090786879,0.0,24.604841798478727
2021-12-22 23:09:00,25.371758466092682,14.802226987780838,0.0,25.371758466092682
2021-12-22 23:10:00,26.138675133706634,14.950943067692887,0.0,26.138675133706634
2021-12-22 23:11:00,26.90559180132059,15.099659147604934,0.0,26.90559180132059
2021-12-22 23:12:00,27.67250846893454,15.24837522751698,0.0,27.67250846893454
2021-12-22 23:13:00,28.439425136548493,15.39709130742903,0.0,28.439425136548493
2021-12-22 23:14:00,29.20634180416245,15.545807387341076,0.0,29.20634180416245
2021-12-22 23:15:00,29.9732584717764,15.694523467253125,0.0,29.9732584717764
2021-12-22 23:16:00,30.740175139390352,15.843239547165172,0.0,30.740175139390352
2021-12-22 23:17:00,31.507091807004308,15.991955627077221,0.0,31.507091807004308
2021-12-22 23:18:00,32.27400847461826,16.14067170698927,0.0,32.27400847461826
2021-12-22 23:19:00,33.04092514223221,16.289387786901315,0.0,33.04092514223221
2021-12-22 23:20:00,33.80784180984617,16.438103866813364,0.0,33.80784180984617
2021-12-22 23:21:00,34.57475847746012,16.586819946725413,0.0,34.57475847746012
2021-12-22 23:22:00,35.34167514507408,16.73553602663746,0.0,35.34167514507408
2021-12-22 23:23:00,36.108591812688026,16.884252106549507,0.0,36.108591812688026
2021-12-22 23:24:00,36.87550848030198,17.032968186461556,0.0,36.87550848030198
2021-12-22 23:25:00,37.64242514791593,17.181684266373605,0.0,37.64242514791593
2021-12-22 23:26:00,38.409341815529885,17.33040034628565,0.0,38.409341815529885
2021-12-22 23:27:00,39.17625848314384,17.4791164261977,0.0,39.17625848314384
2021-12-22 23:28:00,39.943175150757796,17.627832506109748,0.0,39.943175150757796
2021-12-22 23:29:00,40.71009181837175,17.776548586021796,0.0,40.71009181837175
2021-12-22 23:30:00,41.4770084859857,17.92526466593384,0.0,41.4770084859857
2021-12-22 23:31:00,42.243925153599655,18.07398074584589,0.0,42.243925153599655
2021-12-22 23:32:00,43.0108418212136,18.22269682575794,0.0,43.0108418212136
2021-12-22 23:33:00,43.77775848882756,18.371412905669985,0.0,43.77775848882756
2021-12-22 23:34:00,44.544675156441514,18.520128985582033,0.0,44.544675156441514
2021-12-22 23:35:00,45.31159182405547,18.668845065494082,0.0,45.31159182405547
2021-12-22 23:36:00,46.078508491669425,18.81756114540613,0.0,46.078508491669425
2021-12-22 23:37:00,46.84542515928337,18.96627722531818,0.0,46.84542515928337
2021-12-22 23:38:00,47.61234182689732,19.114993305230225,0.0,47.61234182689732
2021-12-22 23:39:00,48.37925849451128,19.263709385142274,0.0,48.37925849451128
2021-12-22 23:40:00,49.14617516212523,19.41242546505432,0.0,49.14617516212523
2021-12-22 23:41:00,49.91309182973919,19.561141544966368,0.0,49.91309182973919
2021-12-22 23:42:00,50.68000849735314,19.709857624878417,0.0,50.68000849735314
2021-12-22 23:43:00,51.44692516496709,19.858573704790466,0.0,51.44692516496709
2021-12-22 23:44:00,52.213841832581046,20.007289784702515,0.0,52.213841832581046
2021-12-22 23:45:00,52.980758500195,20.15600586461456,0.0,52.980758500195
2021-12-22 23:46:00,53.74767516780895,20.30472194452661,0.0,53.74767516780895
2021-12-22 23:47:00,54.514591835422905,20.453438024438658,0.0,54.514591835422905
2021-12-22 23:48:00,55.28150850303686,20.602154104350703,0.0,55.28150850303686
2021-12-22 23:49:00,56.04842517065081,20.75087018426275,0.0,56.04842517065081
2021-12-22 23:50:00,56.815341838264764,20.8995862641748,0.0,56.815341838264764
2021-12-22 23:51:00,57.58225850587872,21.04830234408685,0.0,57.58225850587872
2021-12-22 23:52:00,58.349175173492675,21.197018423998895,0.0,58.349175173492675
2021-12-22 23:53:00,59.11609184110662,21.345734503910943,0.0,59.11609184110662
2021-12-22 23:54:00,59.88300850872058,21.49445058382299,0.0,59.88300850872058
2021-12-22 23:55:00,60.649925176334534,21.643166663735038,0.0,60.649925176334534
2021-12-22 23:56:00,61.41684184394848,21.791882743647086,0.0,61.41684184394848
2021-12-22 23:57:00,62.18375851156244,21.940598823559135,0.0,62.18375851156244
2021-12-22 23:58:00,62.95067517917639,22.089314903471184,0.0,62.95067517917639
2021-12-22 23:59:00,63.71759184679034,22.238030983383233,0.0,63.71759184679034
2021-12-23 00:00:00,64.4845085144043,22.386747063295278,0.0,64.4845085144043
2021-12-23 00:01:00,64.40723094940185,22.2626661938397,0.0,64.40723094940185
2021-12-23 00:02:00,64.32995338439942,22.13858532438412,0.0,64.32995338439942
2021-12-23 00:03:00,64.25267581939697,22.01450445492854,0.0,64.25267581939697
2021-12-23 00:04:00,64.17539825439454,21.890423585472963,0.0,64.17539825439454
2021-12-23 00:05:00,64.09812068939209,21.766342716017384,0.0,64.09812068939209
2021-12-23 00:06:00,64.02084312438964,21.642261846561805,0.0,64.02084312438964
