index,prediction,label,err
775,1.4703448,2.2261667,0.75582194
776,1.4703448,1.4125047,-0.05784011
777,1.4703448,1.0843784,-0.38596642
778,1.4703448,1.8656114,0.39526665
779,1.4703448,4.0512443,2.5808995
780,1.4703448,7.3419647,5.87162
781,1.4703448,10.774756,9.304412
782,1.4703448,13.111718,11.641374
783,1.4703448,13.409018,11.938673
784,1.4703448,11.440252,9.969908
785,1.4703448,7.8712068,6.4008617
786,1.4703448,3.9704487,2.500104
787,1.4703448,0.86019546,-0.6101493
788,1.4703448,0.0,-1.4703448
789,1.4703448,0.0,-1.4703448
790,1.4703448,0.0,-1.4703448
791,1.4703448,0.0,-1.4703448
792,1.4703448,0.0,-1.4703448
793,1.4703448,0.0,-1.4703448
794,1.4703448,0.86867595,-0.60166883
795,1.4703448,1.4063382,-0.06400657
796,1.4703448,1.6947299,0.22438514
797,1.4703448,1.5943328,0.12398803
798,1.4703448,1.2761055,-0.19423926
799,1.4703448,1.0267348,-0.44360995
800,1.4703448,0.9933394,-0.47700536
801,1.4703448,1.238526,-0.2318188
802,3.702991,1.9753615,-1.7276295
803,6.358758,3.5270808,-2.8316772
804,8.795128,5.9829755,-2.8121524
805,11.59787,9.051055,-2.546815
806,14.932066,12.290075,-2.6419907
807,17.55604,15.267449,-2.2885904
808,18.714869,17.431128,-1.283741
809,18.296825,18.12309,-0.17373466
810,17.059156,16.957087,-0.102069855
811,14.649004,14.124773,-0.52423096
812,11.059855,10.284295,-0.7755604
813,7.08393,6.2549686,-0.8289614
814,3.0872421,2.7908769,-0.29636526
815,1.4703448,0.0,-1.4703448
816,1.4703448,0.0,-1.4703448
817,1.4703448,0.0,-1.4703448
818,1.4703448,0.0,-1.4703448
819,1.4703448,0.0,-1.4703448
820,1.4703448,0.5835662,-0.8867786
821,1.9406067,3.4460967,1.50549
822,9.599049,9.009002,-0.5900469
823,19.756601,18.427269,-1.3293324
824,37.511307,33.849674,-3.6616325
825,56.448105,53.249813,-3.1982918
826,86.983955,79.941826,-7.0421295
827,124.1038,115.13655,-8.967247
828,171.2204,155.72487,-15.495529
829,205.9509,193.2073,-12.743591
830,229.73888,218.37656,-11.36232
831,239.11836,227.4722,-11.646164
832,232.21214,223.58458,-8.627563
833,221.99474,212.8663,-9.128433
834,205.56447,199.7848,-5.779663
835,187.83913,184.77861,-3.0605164
836,168.9088,165.00455,-3.904251
837,140.08815,137.50244,-2.5857086
838,102.7419,102.91768,0.17578125
839,66.99318,66.643936,-0.34924316
840,32.36365,35.812794,3.4491425
841,16.650892,16.691889,0.04099655
842,4.570583,5.3053975,0.73481464
843,0.65305525,0.68290544,0.029850185
844,0.0,0.0,0.0
845,3.2077775,1.8042356,-1.4035419
846,5.814742,5.794054,-0.020688057
847,13.542645,12.064613,-1.4780321
848,21.584274,20.36914,-1.2151337
849,31.4299,29.534771,-1.8951283
850,41.754723,37.786938,-3.967785
851,47.187862,44.980236,-2.2076263
852,60.727646,55.052444,-5.6752014
853,78.81682,74.40516,-4.4116592
854,108.326904,105.5067,-2.8202057
855,145.94017,142.0739,-3.866272
856,173.76027,171.91057,-1.8497009
857,185.22139,184.63037,-0.5910187
858,177.4693,176.6459,-0.8233948
859,149.9325,150.98628,1.0537872
860,112.31804,115.00497,2.6869278
861,72.18513,77.75037,5.565239
862,41.94323,46.66865,4.725422
863,22.23959,24.973885,2.734295
864,12.992484,11.809604,-1.1828804
865,5.8460627,4.5886073,-1.2574553
866,0.16937947,0.99278826,0.8234088
867,0.0,0.0,0.0
868,0.0,0.39768416,0.39768416
869,2.3736033,3.34679,0.97318673
870,9.882108,11.237459,1.3553514
871,25.429129,27.691948,2.2628193
872,54.01462,55.284225,1.2696037
873,89.87542,92.023895,2.1484756
874,127.72227,130.26726,2.5449905
875,158.5031,160.8495,2.346405
876,175.7944,179.25563,3.4612274
877,180.9183,187.49495,6.576645
878,187.00415,190.43852,3.434372
879,188.6185,191.37906,2.760559
880,188.87717,190.53398,1.6568146
881,184.91374,185.7247,0.81095886
882,174.23116,173.51035,-0.72080994
883,151.05186,151.01765,-0.034210205
884,119.67763,118.7266,-0.9510269
885,80.91686,81.968796,1.0519333
886,48.579838,48.634808,0.054969788
887,25.176453,24.49302,-0.68343353
