index,prediction,label,err
757,6.7202377,4.923563,-1.7966747
758,7.435763,8.24285,0.8070874
759,14.552419,10.779592,-3.7728271
760,19.71812,11.870268,-7.8478527
761,21.197817,11.568821,-9.628996
762,17.709751,10.381399,-7.328352
763,8.864441,8.81252,-0.05192089
764,0.82638854,7.1233063,6.296918
765,0.82638854,5.4212685,4.59488
766,0.82638854,3.846095,3.0197065
767,0.82638854,2.5707495,1.7443609
768,0.82638854,1.6458594,0.8194708
769,0.82638854,0.8930551,0.06666654
770,0.82638854,0.0,-0.82638854
771,0.82638854,0.0,-0.82638854
772,0.82638854,0.0,-0.82638854
773,0.82638854,0.0,-0.82638854
774,0.82638854,0.0,-0.82638854
775,0.82638854,0.0,-0.82638854
776,0.82638854,0.0,-0.82638854
777,3.948229,0.0,-3.948229
778,16.203096,71.88237,55.679276
779,17.601133,39.24328,21.642145
780,16.962873,14.417231,-2.5456429
781,5.221325,0.92294294,-4.298382
782,5.98928,0.0,-5.98928
783,19.542904,11.957469,-7.585435
784,32.893394,35.71719,2.8237953
785,38.396423,67.11078,28.714355
786,39.04578,99.11949,60.07371
787,37.41453,125.07541,87.66087
788,36.662537,141.85152,105.18898
789,35.415096,150.05588,114.64078
790,33.10527,151.73462,118.62935
791,29.756773,147.95746,118.20068
792,26.026705,137.90791,111.88121
793,24.665806,120.0552,95.38939
794,25.714334,94.91676,69.20243
795,29.90317,67.0048,37.10163
796,28.568308,43.25439,14.686083
797,26.572542,28.95895,2.3864079
798,24.87031,25.716278,0.84596825
799,32.425724,33.007275,0.5815506
800,40.7908,47.46882,6.6780205
801,45.894264,69.1751,23.280838
802,49.267757,91.29805,42.030293
803,50.888493,107.94264,57.05415
804,51.318626,116.00239,64.68376
805,50.479492,115.172,64.692505
806,46.32449,88.90171,42.57722
807,43.304817,73.29243,29.98761
808,39.5531,52.096214,12.543114
809,30.293344,29.202005,-1.0913391
810,11.563551,8.951547,-2.6120043
811,0.82638854,0.0,-0.82638854
812,0.82638854,0.0,-0.82638854
813,0.82638854,0.0,-0.82638854
814,0.82638854,0.0,-0.82638854
815,0.82638854,0.0,-0.82638854
816,0.82638854,0.0,-0.82638854
817,0.82638854,0.0,-0.82638854
818,0.82638854,0.0,-0.82638854
819,0.82638854,0.0,-0.82638854
820,0.82638854,0.0,-0.82638854
821,0.82638854,0.0,-0.82638854
822,0.82638854,7.0754,6.2490115
823,15.886422,20.239473,4.353051
824,43.095394,44.676468,1.5810738
825,71.95753,80.433334,8.475807
826,105.82277,121.63778,15.81501
827,143.64294,158.93384,15.290894
828,168.46913,185.35391,16.88478
829,188.91455,199.83424,10.919693
830,196.33162,205.56415,9.232529
831,192.72647,206.24115,13.514679
832,194.98918,204.10829,9.11911
833,189.45505,200.267,10.811951
834,182.94229,195.56586,12.623566
835,176.09747,190.87915,14.781677
836,176.80309,186.8554,10.052307
837,176.17694,183.6668,7.489853
838,168.10306,181.03188,12.928818
839,159.37384,178.27658,18.90274
840,149.4371,174.13002,24.692917
841,140.32333,166.39273,26.069397
842,128.71948,152.22157,23.50209
843,106.751686,129.70909,22.957405
844,76.00273,91.14017,15.137436
845,43.485954,59.54439,16.058437
846,26.40176,32.5263,6.1245384
847,10.061171,14.270497,4.2093267
848,4.1527734,4.6888638,0.5360904
849,1.1001031,0.8999628,-0.20014036
850,0.82638854,0.0,-0.82638854
851,0.82638854,0.44721678,-0.37917176
852,2.166545,1.6581392,-0.5084057
853,3.9954576,3.2273831,-0.7680745
854,6.6112432,4.7619486,-1.8492947
855,8.129486,6.102049,-2.0274372
856,9.391742,7.400528,-1.9912138
857,10.546987,8.933019,-1.6139679
858,15.30023,10.729491,-4.570739
859,15.325826,12.213018,-3.1128073
860,15.616054,12.29103,-3.3250237
861,13.227972,10.1198635,-3.1081085
862,7.654697,5.911684,-1.7430129
863,0.82638854,0.9062928,0.07990426
864,0.82638854,0.0,-0.82638854
865,0.82638854,0.0,-0.82638854
866,0.82638854,0.0,-0.82638854
867,0.0,0.0,0.0
868,0.0,0.0,0.0
869,0.0,0.0,0.0
870,0.0,0.0,0.0
871,0.0,0.0,0.0
872,0.0,0.0,0.0
873,0.0,0.0,0.0
874,8.386119,6.6511207,-1.7349982
875,9.274433,8.643293,-0.63113976
876,11.80472,10.045706,-1.7590141
877,10.0697,10.207343,0.13764286
878,9.444533,9.172072,-0.27246094
879,5.9278345,7.5325203,1.6046858
880,4.784449,5.8223467,1.0378976
881,4.1777844,4.2146845,0.036900043
882,1.6767436,2.7064552,1.0297116
883,0.82638854,1.3371239,0.51073533
884,0.82638854,0.17652182,-0.6498667
885,0.82638854,0.0,-0.82638854
886,0.82638854,0.0,-0.82638854
887,0.82638854,0.0,-0.82638854
888,0.82638854,0.0,-0.82638854
889,0.82638854,0.0,-0.82638854
890,0.82638854,0.6853234,-0.14106512
891,1.246685,1.6892627,0.44257772
892,4.4390206,3.6141324,-0.8248882
