index,power_demand,power_load,power_pv
2021-12-23 00:00:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:01:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:02:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:03:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:04:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:05:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:06:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:07:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:08:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:09:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:10:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:11:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:12:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:13:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:14:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:15:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:16:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:17:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:18:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:19:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:20:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:21:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:22:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:23:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:24:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:25:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:26:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:27:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:28:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:29:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:30:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:31:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:32:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:33:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:34:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:35:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:36:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:37:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:38:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:39:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:40:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:41:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:42:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:43:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:44:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:45:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:46:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:47:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:48:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:49:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:50:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:51:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:52:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:53:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:54:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:55:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:56:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:57:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:58:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 00:59:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:00:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:01:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:02:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:03:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:04:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:05:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:06:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:07:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:08:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:09:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:10:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:11:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:12:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:13:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:14:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:15:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:16:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:17:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:18:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:19:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:20:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:21:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:22:00,5.752786420285702,5.752786420285702,0.0
2021-12-23 01:23:00,5.752786420285702,5.752786420285702,0.0
