index,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5,soc_m1,soc_m2,soc_m3,soc_m4,soc_m5
bias,-2.7046017728418112,-1.8942253300228742,-1.7011795969197945,-1.7552673853205476,0.11552986739317339,-2.026410047637034,-1.3907687545080292,-1.1592314037569882,-1.2085344075426272,0.19114362055373002,3.9106899627136626,1.5014467293743505,1.3163979324825545,0.9990311770284972,1.325622885041492,0.3270926663407429,-0.8546144957213663,-1.2434692990589733,-1.155016748833919,0.20149595222508984,0.26992357829248115,1.455429083531677,1.1863732483852063,0.9189188506922795,0.8457106013536109,-1.757293205621681,-1.2114946463920597,-0.9075491665302845,-0.8337180644750847,0.5644791255169336,-2.397612809352909,-2.114606349870703,-1.6630431650156492,-1.5372394187683711,-0.09062942918074779,-2.3232172916575413,-1.7730644260433648,-1.4562910178111492,-1.5003785577893454,0.2581389976399466,2.7927296051365795,1.9152825657926906,2.1672844004783043,1.225189581482063,0.996439437879221,1.532480373044501,-1.0419123740754603,0.5172855758484461,0.854589759634859,0.6465828079388838,-0.017885294127154498,-1.7927609772538244,-0.6524773069029248,-0.015845986057504417,1.323106449870496,1.4924505622481512,1.572872549038663,1.614166049388726,0.9573364860649706,0.9249589090286612,2.6142152988278813,0.6849808754113803,2.249177158529074,3.5491207114186403,4.827634513811042,-2.687157584570459,-2.1311670928632247,-1.728224088725694,-1.5380483800951623,0.3333383974328136,-2.71005354464384,-1.8984733555902793,-1.6197088323269082,-1.3900589637118432,0.3713972511861871,-2.599201603292437,-1.9434497620517561,-1.6345107652452517,-1.4534642417750194,-0.07421598843509618,-2.5240915852626746,-1.6081635322588326,-1.4264486730158596,-1.1676037244395818,-0.08913847910749736,-2.7511897464315185,-1.9331153222127646,-1.7115023976035524,-1.6195715642997195,-0.028152452261571526,0.23082120881499324,0.475813727072566,0.518534395504567,-0.07886602236845883,-0.0685216904278696,-2.5398917501019893,-2.1454273284720924,-2.0916280209622875,-2.505395011096322,-2.6209854566285338,0.7367594698671595,1.4862283567457222,1.276026565851851,0.6808191551562452,0.558851424113088,2.970494650625186,2.093281737197075,1.4911438884430113,-0.09722292699476497,-1.0017633813905404,-0.3839735935712808,-0.9203269901853373,-0.45382845063370364,-0.09887017087129689,0.9084160614660998,-1.218158808791262,-1.5599190487248427,-0.7445612584755172,0.36829493415857417,1.9851444353054148,1.550256519326586,-0.11863665355850518,0.8370608704231202,0.5957989600305722,0.6442524783416196,-0.6899035880924588,0.18022903272110016,0.12099352708992436,0.0364872772767996,-0.03576912409079395,2.3544254287824846,2.046873617723647,1.9672468340151563,1.1394579817329777,1.6517351836802063,-3.0858785877269104,-2.3907256259260135,-2.1945949307869363,-2.673547647294908,-0.5042181196681691,-0.29192167755901377,0.9203631900537171,0.6786361299889442,0.2296547022636301,0.5215649185826113,-2.473688842296736,-1.7281932753128335,-1.416939217409325,-1.002697767303098,-0.16923649748191882,0.37792440078155487,1.136038768807222,1.050727724474587,0.7089054134405873,0.41904932547500706,2.8293869675136913,0.9068215618660608,1.9409761494017193,1.3799353902824643,1.945031534851074,3.5046854968899197,-2.3242277025752656,0.08826366735512746,-0.03578619275514051,-1.6527979873063978,6.078656455434324,-1.3652177864455157,1.29549622280188,0.9073822438492584,-0.8816278482886206,-0.3585549746514369,1.015446266615042,0.9188177280058218,1.1331305296908405,1.1155718252140678,1.0095523323650875,1.4157229771284863,1.9057961561555563,2.4279692744215002,2.6465857272143434,-0.7032078247758063,1.4827257720922697,0.9418696047635328,0.9524913396243566,0.4343790756765648
mse,9.564360510710909,5.3318319226229764,4.143986819886596,3.9173127018488882,0.11952019489270616,6.0998926460996294,3.473478881291614,2.4355501295645112,2.002209705419157,0.2135168304296855,48.91971808334777,7.700063832666574,5.782185193233426,3.671258547503402,3.176998362211297,3.1738805315276335,1.6524217015940221,2.3616045672369133,1.8932896429662216,0.2113906036228652,2.02957391082112,5.23533306707828,3.841327220877407,2.679413472083542,1.3999057781186244,4.518784463005221,2.750922750400301,1.7622832628774627,1.2788798292473964,0.4583909975683671,8.100030472136332,6.857921990404905,4.341169466762411,3.201895700912945,0.09990029807355928,8.61333072235914,5.740527759905494,4.152058197355482,3.3800137173606206,0.4302546591496935,15.823874816774497,6.816439567546626,8.187511675720485,2.438269902655518,1.4227445202238078,10.88493147803295,4.141320557876547,3.8676031534817485,1.7942260942904467,0.6760706378411354,3.9079157290162416,6.273887458006831,2.753573889330284,0.7644156847324368,2.4101330401352286,7.352719361316006,4.881484215572905,5.069953404982493,1.599945523085358,1.204698778018627,22.179020173206116,11.854179657224591,19.236154205442862,27.587075064993567,40.465066363023546,9.130228621643434,6.4018659185036695,4.139116381197905,3.0007109009626936,0.21331363858229002,9.669776453935468,5.609056160759078,3.9747111349842155,2.641256257304918,0.24123824759711185,9.073338575778903,6.058553976637197,4.170743758580609,3.115576692874737,0.11682789207101932,8.348945202576635,4.456432156236406,3.3091806991459234,2.0225525993909317,0.10739832170546491,10.032601003904382,5.877995354315975,4.407147148828736,3.388587174033355,0.09166235691209722,1.763368345179972,0.9406438895935992,0.6035262971108926,0.3190203581458706,0.9845203190252528,8.926467159938131,8.276716096202318,7.1564070125754125,10.07421618169138,11.308186653581405,5.547117996155809,5.491866848842875,4.744416395711149,1.4552331674402164,0.5427575185774376,15.360816028072854,6.407663564222262,3.88609456084993,0.9897064216370726,1.8101595725442112,3.5494058589862942,3.6540404607232517,2.3229293210777175,0.5196394930467166,1.3046660854419596,2.5005644947584984,3.922286365490537,1.4593905102887612,0.5901602394297247,5.146561354580709,7.990690147369699,2.087440797325428,3.0699346377703147,1.1063117571684455,0.5180777781009347,0.6152739566565985,0.15302085487052192,0.17054368427733288,0.1294119920235898,0.09195789991628386,17.63694880491125,10.318162997376454,9.727405536593071,3.756731067752366,6.064624342892462,11.550728546622981,7.495664162273238,6.214750085955389,8.666537546330552,0.6569743822593386,4.886096490729408,4.682956578150398,3.938300267537183,1.3160157493797526,0.710584563963607,6.7736441394734905,3.181076099664028,2.1253745782538958,1.06849154430198,0.05371506149706461,4.4527025107697265,4.304368169601758,4.1606637121872305,1.746775284338031,0.6058060342715452,48.721010294401445,20.496466422374134,28.94126383980292,23.07890676049144,19.51066115614401,28.380929147239367,7.365641303142338,2.4774492118303986,0.8431061729540421,5.278001820000031,71.00143671735727,3.9680237287133253,7.7279673696542,4.135760202385334,1.4732344193565463,1.232561783095216,1.9696877139522062,1.7815887380724982,2.0783779342779884,2.5978658751113666,11.672200074492721,8.263219987431686,12.325239906782356,15.161536752710283,17.853961672308714,1.169982684055651,2.7904682321526098,1.2282642492118956,1.1919063381157637,0.2986951950948368
mae,2.7105050398838757,1.9034043950284179,1.7092881873268508,1.7633521675924708,0.2758977572013336,2.039360123207671,1.4200066032470615,1.2046190497897185,1.2290481416824204,0.33628644923503803,5.1476922933530425,2.0143702892585083,1.8819224070771532,1.5551637657246347,1.3520081900311673,1.4870682436421234,1.138814787937176,1.312840642346849,1.2016223604514567,0.37999300560406635,1.1576186066528957,1.818142889077279,1.5930481818341689,1.3283714809333909,0.9204720416683385,1.7992830764054788,1.3298586261197316,1.111012833348952,0.9638032467246059,0.5689640195413627,2.4130824337536834,2.135018129401941,1.700621452283609,1.5462351865535608,0.2568092426375714,2.387089406093906,1.8508705696162304,1.6250262548138377,1.5091212073511628,0.4270013009540872,3.040000564512864,1.9161909148297898,2.1708769063445117,1.2293781532351653,0.9989288834946382,2.9585685121442657,1.678200191104231,1.8464531695824764,1.0663416262439138,0.7163522673853483,1.7274909681234198,2.2144509322818684,1.4142989661311813,0.7309330358667584,1.369438060404194,1.9608285690053782,1.5736910947536753,1.6168047587601162,0.9602007351972079,0.9253106293870982,4.221367175914336,3.3056291512270963,4.008821055031752,4.3381940304208655,4.941569066329862,2.694088034359045,2.1440488235213495,1.7405003278382238,1.5497805706832823,0.373414851838933,2.7165060644329175,1.9141330495455418,1.6465814217970132,1.4013209365810841,0.3875762580488714,2.6128100028244887,2.0070219712693205,1.6781772387184881,1.4926254884510346,0.27613214566486693,2.5243735720798397,1.6490524336171346,1.4856357593161373,1.215252808059143,0.2740459872498548,2.7511897464315185,1.9425585480883651,1.716272257577129,1.624210255934514,0.2483837325474255,0.9808336316662543,0.8049080838226352,0.5725254967906179,0.4490115352851966,0.8229502079520089,2.5398917501019893,2.346187405514817,2.170847130063451,2.577663631859088,2.7463709208238924,1.735194132822207,1.5381444908613755,1.396142969226659,0.8260160358594224,0.6244224084163844,3.208818669796723,2.098468814607064,1.5126423651893708,0.7952682860354232,1.1280051388542964,1.6445043451128853,1.6407890096007522,1.3522017057098084,0.6170604470861754,0.9690194485214859,1.443793557381093,1.7444593796363586,0.9888769012314619,0.5849709256026252,1.9874072382441275,2.449987151802377,1.0335446677713847,1.558594283264361,0.8901169480747662,0.6522758376226744,0.700938057408975,0.3278356880639717,0.3363134543074888,0.2940981103458403,0.25674587248091757,3.0918928918366295,2.278664631072204,2.2157497605730003,1.3848378419485152,1.739907953459016,3.1053092400354134,2.421605862154034,2.221189888701145,2.699981022353635,0.7047740291559332,1.8634924145587672,1.2613144675232062,1.235264664115493,0.8104247614521507,0.5993659915105596,2.473960682857608,1.7283520452082963,1.4172350498510689,1.0031609467157654,0.192180084553792,1.3154808024706603,1.2212157935436994,1.1398297638746255,0.7831738475870906,0.4859658778889255,5.672161944823474,4.005830534267055,4.469064735853806,4.178259205692339,3.5041912271501006,4.288644985559566,2.325279310317515,1.3114085523049535,0.7531005292796236,1.893793119713729,6.300971953636491,1.704322869993067,2.120600102071558,1.601433434903892,1.055883670217457,0.877790603279547,1.1501836033043038,0.971274919036172,1.1493414568138964,1.153916089050691,2.4430422568879218,2.251982159756947,2.533515824348859,2.6749433608520654,2.7215341928479044,0.7614126731518697,1.4855165654677702,0.9556621810625233,0.9562765281118955,0.45787797137742
r2,0.942243114683884,0.968512899696381,0.9761701569229098,0.9785507920325898,0.9994024327609794,0.9684579060629873,0.9824831211742497,0.9879710410953091,0.9907137357851831,0.9990485426270416,0.6396176298984628,0.9315055271290786,0.9508757553609084,0.9703385192489956,0.9751283056166845,0.9736076735911677,0.9840352972929318,0.9769495893715512,0.9822163282755132,0.9982403120024365,0.984217448989195,0.9569952632357441,0.9696449015307852,0.9798746919908294,0.9902183683743098,0.9634128629436656,0.9779473184597482,0.9862757044583361,0.9904335941026876,0.9968955024907888,0.9624114488721278,0.9680596246308514,0.9805444354788846,0.98632197603568,0.9996122243690155,0.9615179382197604,0.9749804571339282,0.9822978218599001,0.9863262465117869,0.9983903964460226,0.971133951580906,0.9882180325006197,0.9858794473577871,0.99609566175512,0.9978116653605336,0.9767350035032613,0.9919668446325316,0.9924132269038678,0.9967505836092165,0.9988410690782358,0.9929869554839108,0.9883571824008826,0.9950797967184949,0.9987129364880788,0.9961258536403962,0.9828643191718824,0.989022096597733,0.9886901307661008,0.9966813887199472,0.9975858192562492,0.9273090360505374,0.9580203035843466,0.9362504980274239,0.9129436684389023,0.8784811337419389,0.9558500777115954,0.9689318445906793,0.9807079247051107,0.986614256087484,0.9991419284642785,0.9530022068601127,0.972938056798453,0.9814998929228175,0.9882729820863063,0.9990321675529243,0.9473328313797398,0.9646347454515681,0.9767372616958641,0.983233278630452,0.999441427422443,0.9593893221532657,0.978337072322021,0.9845032033964289,0.9909617137766613,0.9995602991408491,0.9553570301523873,0.9740661196990793,0.981145428726511,0.9862743769799277,0.9996593429433659,0.9919426679787349,0.9960804276567277,0.9974235540827259,0.9987510465241575,0.9963556534401243,0.8644170232657498,0.8791677016094336,0.8964485798875548,0.8644465375684843,0.8583219703735386,0.9875448778323807,0.9880305137244031,0.989725137169655,0.9970683972296421,0.9989669871459835,0.9780138221262598,0.9915805691497065,0.995011895527636,0.998828784475332,0.9979398360609941,0.994632063951105,0.9944390968246254,0.9965440944469822,0.9992719356513601,0.9982846637838629,0.9946661767440099,0.9914422079403171,0.9969278913891964,0.9988243288266073,0.9903910745554151,0.9719777955792227,0.9930292920195712,0.989757615812687,0.996589346455977,0.9984991905563095,0.9616491032780036,0.9901110211279938,0.9889290137471005,0.9921419942353927,0.9947148768265774,0.9541310879821021,0.9756295037523982,0.9771128851813076,0.9918653409206577,0.9866520405572119,0.861596751238707,0.9087560493420597,0.9265907035260694,0.9038667260696549,0.9930074900085482,0.9856551731161363,0.9865844952197828,0.988814258871249,0.996540497089071,0.9982408122883246,0.6958297944353644,0.8729762263614139,0.9184224837603194,0.9611001486530667,0.9981570217306648,0.9827429133054422,0.9840077400341487,0.9844996723218135,0.9939752421596801,0.9980233034968493,0.5149772185255255,0.7795487369390118,0.6979616055359671,0.7683446214262188,0.8256219389061157,0.9220238289883139,0.9785185130148237,0.9929930883052253,0.9977514440787141,0.9870149166349848,0.7497219130463182,0.9833377090925084,0.9691724627753797,0.9842755414275579,0.9947878178838123,0.9921951185714415,0.9876966792910349,0.9893271567250917,0.9882538055308676,0.9861314708745627,0.9805581385052353,0.9857320653580657,0.9798577568272345,0.976615349829896,0.9734539280055264,0.9074244252094544,0.8135705434806919,0.9172319844383364,0.9226049253145286,0.9817427497079889
